date,Arabian Sea heatwave_share,Arabian Sea deep_share_of_heatwave,Bay of Bengal heatwave_share,Bay of Bengal deep_share_of_heatwave
2023-01-01,0.0391524643021649,0.5333333333333333,0.07470574105212587,0.8456591639871383
2023-01-02,0.04901659496004917,0.5078369905956113,0.060307544449783757,0.8247011952191236
2023-01-03,0.050878533231474406,0.5105105105105106,0.07909332047263082,0.875
2023-01-04,0.0190171915411532,0.712,0.116751269035533,0.8633540372670807
2023-01-05,0.00837648492232714,0.9454545454545454,0.0789980732177264,0.8780487804878049
2023-01-06,0.006887052341597796,0.8666666666666667,0.04588037472976219,0.8481675392670157
2023-01-07,0.007482058329515957,0.8775510204081632,0.051226551226551224,0.8450704225352113
2023-01-08,0.009926695174098962,0.7230769230769231,0.031167585710860705,0.8461538461538461
2023-01-09,0.012057387057387058,0.7848101265822784,0.020124580737901295,0.9047619047619048
2023-01-10,0.014868760430890608,0.8163265306122449,0.021042563366810138,0.9545454545454546
2023-01-11,0.025885558583106268,0.7602339181286549,0.022195704057279237,0.9247311827956989
2023-01-12,0.024856016974840862,0.7317073170731707,0.01832896929302547,0.8701298701298701
2023-01-13,0.027449196239005155,0.6132596685082873,0.01613291596436311,0.8805970149253731
2023-01-14,0.011679053541635067,0.7662337662337663,0.013339801115692457,0.9818181818181818
2023-01-15,0.013966904508881129,0.75,0.0106951871657754,1.0
2023-01-16,0.008665247795682578,0.8771929824561403,0.00765367137048553,1.0
2023-01-17,0.007156997106745851,0.8297872340425532,0.004532442748091603,1.0
2023-01-18,0.007446808510638298,0.8979591836734694,0.002863961813842482,1.0
2023-01-19,0.006700167504187605,0.8409090909090909,0.010506208213944603,0.9545454545454546
2023-01-20,0.008876645240281604,0.7586206896551724,0.011447650846649178,0.9583333333333334
2023-01-21,0.009477224090492203,0.6774193548387096,0.015982824427480915,0.9701492537313433
2023-01-22,0.011158667074289209,0.6438356164383562,0.015498330948974726,0.9230769230769231
2023-01-23,0.008565310492505354,0.5178571428571429,0.018125447173861196,0.9210526315789473
2023-01-24,0.0018376722817764165,0.4166666666666667,0.0164638511095204,0.8985507246376812
