latitude,longitude,date,platform_number,cycle_number,day_idx,lat_idx,lon_idx,pred_0m,pred_5m,pred_10m,pred_20m,pred_30m,pred_50m,pred_75m,pred_100m,pred_125m,pred_150m,pred_200m,pred_300m,pred_500m,pred_700m,pred_1000m,glorys_0m,glorys_5m,glorys_10m,glorys_20m,glorys_30m,glorys_50m,glorys_75m,glorys_100m,glorys_125m,glorys_150m,glorys_200m,glorys_300m,glorys_500m,glorys_700m,glorys_1000m,true_0m,true_5m,true_10m,true_20m,true_30m,true_50m,true_75m,true_100m,true_125m,true_150m,true_200m,true_300m,true_500m,true_700m,true_1000m
13.177456666666666,66.67286,2021-01-01,2902118,250,4018,33,87,27.890993,27.884798,27.876007,27.870863,27.90477,27.71276,25.417969,23.91081,19.833864,17.61578,15.877958,12.825837,11.370136,10.632626,8.74673,27.7004,27.699667,27.698202,27.693808,27.690145,27.61324,24.560411,23.49031,20.211157,17.930326,15.950529,12.998047,11.102481,10.513596,8.569689,,,27.72973333333333,27.655936170212765,27.592636363636363,26.577,23.92091489361702,21.81516,19.44770833333333,17.395020833333334,15.276845070422535,13.070776699029128,11.576666666666666,10.03638048780488,7.969053571428571
12.816,65.254,2021-01-01,2902259,106,4018,31,81,27.515882,27.519924,27.514221,27.513739,27.562227,27.35515,25.279322,23.817993,19.792671,17.707361,16.01185,12.707861,11.321455,10.669384,8.892612,27.334177,27.332712,27.33198,27.32905,27.324656,27.294626,24.541368,23.294016,19.34028,17.638813,16.206152,12.975341,11.251167,10.452803,8.921995,,27.011,27.01,27.013,27.015818181818183,27.021,25.465,23.0575,20.286,18.3582,15.595666666666666,12.82672,11.36344,10.22284,7.987080000000001
15.992,62.551,2021-01-01,2902268,71,4018,44,70,25.507965,25.530312,25.529633,25.57922,25.77855,25.603725,24.390652,23.538511,21.226683,19.643953,18.140543,14.463953,12.10651,11.281548,9.374473,25.14124,25.14124,25.140507,25.139774,25.136112,25.133183,23.22004,21.982208,19.49556,18.256264,17.02356,13.890163,11.826868,11.147161,9.361462,,25.225,25.228,25.233272727272727,25.2368,25.2448,22.259,21.1262,19.901454545454545,18.4234,17.214764705882352,15.1072,12.40172,10.80592,8.640041666666667
18.807798,68.37236,2021-01-01,2902277,60,4018,55,93,26.253263,26.279186,26.285372,26.339306,26.52611,26.553688,24.631685,23.499048,21.061563,19.52089,17.92625,14.578725,12.335552,11.445512,9.492362,26.328531,26.328531,26.327799,26.327799,26.325602,26.324137,24.862179,23.494705,21.384533,20.127659,18.470139,14.579394,12.542466,11.939665,10.315836,,25.73526047904192,25.73443415841584,25.7369,25.7261698019802,25.611261306532665,21.870995049504952,20.990554,20.758782653061225,19.464470297029703,16.776311000000003,14.6765,12.850533990147785,11.1496,8.801497999999999
15.21,87.788,2021-01-01,2902283,117,4018,41,171,27.68291,27.676174,27.673584,27.708431,27.91626,28.28172,26.778217,25.101076,20.650131,18.13138,15.789793,11.655025,9.746258,8.958175,7.3210506,27.404491,27.403759,27.402294,27.395702,27.38618,27.37959,26.742363,24.611683,19.464064,17.21839,15.241524,11.376415,9.661031,8.820185,7.232246,,27.356,27.363333333333333,27.374,27.3975,27.4412,25.4,22.704454545454546,19.858,17.78177777777778,14.17225,12.03044,10.08204,8.56,6.71464
10.47663,62.94091,2021-01-01,2902388,192,4018,22,72,27.342636,27.344017,27.333353,27.305756,27.296236,26.892628,24.531115,22.943367,18.466003,16.335989,14.843512,12.183812,10.947709,10.326315,8.770007,27.216986,27.213324,27.207464,27.200872,27.195013,26.596607,23.179754,22.0994,18.769707,16.472763,14.817438,12.20481,11.04535,10.357585,8.404889,,27.224,27.226,27.229,27.229,23.420117647058824,20.9945,18.848,17.7238,16.148509433962264,13.970145833333332,12.461,11.028,9.607,7.852
11.57111,64.61373,2021-01-01,2902389,192,4018,26,78,27.8561,27.855541,27.849413,27.825075,27.789618,27.408678,25.01942,23.37428,18.966915,16.883348,15.309632,12.4506645,11.110897,10.42662,8.705833,27.726768,27.725304,27.724571,27.72091,27.71871,27.58687,24.151707,22.960752,18.684744,16.23545,14.91705,12.367413,11.1383705,10.342204,8.817987,,27.73924,27.744,27.749846153846157,27.752,27.751115384615385,24.169,22.325692307692307,18.7974,16.98,14.281,12.744941176470588,11.423,10.136980392156865,8.239
11.31598,69.39324,2021-01-01,2902393,191,4018,25,98,28.467945,28.44835,28.443228,28.494026,28.603998,28.242714,25.434946,23.596846,19.118723,16.922865,15.229104,12.39731,11.0681095,10.425267,8.525099,28.524399,28.502426,28.495834,28.48851,28.484116,28.476791,25.682516,24.487167,19.787073,17.281382,14.989563,12.566637,11.057802,10.35319,8.79748,,28.33896,28.341,28.344,28.346,28.350240000000003,24.71952,21.20988235294118,17.624708333333334,15.948,14.157549019607842,12.389192307692309,11.139,10.035,8.264399999999998
13.16964,63.41695833333333,2021-01-01,6902943,294,4018,33,74,27.105534,27.117462,27.115774,27.10667,27.090586,26.74589,24.527756,23.160624,19.838923,17.949957,16.35181,13.090237,11.52624,10.84505,9.114288,26.926939,26.926939,26.926939,26.926207,26.925474,26.91229,23.790613,22.856014,19.295603,17.393444,16.048677,13.441908,11.640828,10.767022,9.077272,,26.675,26.6736,26.676,26.6818,26.676,23.486,21.796,20.0401,18.067,15.742333333333336,13.6516,11.6185,10.632,8.4155
16.794806666666666,54.35472,2021-01-01,6902948,274,4018,47,37,25.577545,25.583384,25.605524,25.730537,25.99622,26.070919,24.934296,24.181522,21.917727,20.496017,18.846067,14.761989,12.525364,11.914799,9.80196,25.853176,25.779198,25.768944,25.757225,25.747704,25.744041,25.766747,25.42616,23.065493,21.774193,19.535112,14.262978,12.88818,12.154271,9.593646,,25.451,25.4418,25.378,25.358600000000003,25.332,25.33581818181818,25.3188,23.763500000000004,21.7624,18.038,15.236,13.015166666666667,12.011260869565216,
