latitude,longitude,date,platform_number,cycle_number,day_idx,lat_idx,lon_idx,pred_0m,pred_5m,pred_10m,pred_20m,pred_30m,pred_50m,pred_75m,pred_100m,pred_125m,pred_150m,pred_200m,pred_300m,pred_500m,pred_700m,pred_1000m,glorys_0m,glorys_5m,glorys_10m,glorys_20m,glorys_30m,glorys_50m,glorys_75m,glorys_100m,glorys_125m,glorys_150m,glorys_200m,glorys_300m,glorys_500m,glorys_700m,glorys_1000m,true_0m,true_5m,true_10m,true_20m,true_30m,true_50m,true_75m,true_100m,true_125m,true_150m,true_200m,true_300m,true_500m,true_700m,true_1000m
13.177456666666666,66.67286,2021-01-01,2902118,250,4018,33,87,27.950375,28.03542,28.00601,27.899855,27.88269,27.583023,25.359564,22.240993,20.012169,17.964222,15.219177,13.080722,11.666742,10.318154,8.152553,27.7004,27.699667,27.698202,27.693808,27.690145,27.61324,24.560411,23.49031,20.211157,17.930326,15.950529,12.998047,11.102481,10.513596,8.569689,,,27.72973333333333,27.655936170212765,27.592636363636363,26.577,23.92091489361702,21.81516,19.44770833333333,17.395020833333334,15.276845070422535,13.070776699029128,11.576666666666666,10.03638048780488,7.969053571428571
12.816,65.254,2021-01-01,2902259,106,4018,31,81,27.570711,27.671707,27.642023,27.545649,27.508875,27.113903,25.170418,22.208673,20.087059,18.16603,15.380991,13.02347,11.629591,10.352265,8.310843,27.334177,27.332712,27.33198,27.32905,27.324656,27.294626,24.541368,23.294016,19.34028,17.638813,16.206152,12.975341,11.251167,10.452803,8.921995,,27.011,27.01,27.013,27.015818181818183,27.021,25.465,23.0575,20.286,18.3582,15.595666666666666,12.82672,11.36344,10.22284,7.987080000000001
15.992,62.551,2021-01-01,2902268,71,4018,44,70,25.334278,25.537853,25.533897,25.535704,25.731356,25.423328,24.420107,22.651775,21.285503,19.752045,17.392551,14.885228,12.486661,10.894386,8.681482,25.14124,25.14124,25.140507,25.139774,25.136112,25.133183,23.22004,21.982208,19.49556,18.256264,17.02356,13.890163,11.826868,11.147161,9.361462,,25.225,25.228,25.233272727272727,25.2368,25.2448,22.259,21.1262,19.901454545454545,18.4234,17.214764705882352,15.1072,12.40172,10.80592,8.640041666666667
18.807798,68.37236,2021-01-01,2902277,60,4018,55,93,25.989777,26.22367,26.220377,26.193773,26.31019,26.063702,24.15592,21.974014,20.428976,19.03458,16.91696,14.733657,12.571392,11.05127,8.852829,26.328531,26.328531,26.327799,26.327799,26.325602,26.324137,24.862179,23.494705,21.384533,20.127659,18.470139,14.579394,12.542466,11.939665,10.315836,,25.73526047904192,25.73443415841584,25.7369,25.7261698019802,25.611261306532665,21.870995049504952,20.990554,20.758782653061225,19.464470297029703,16.776311000000003,14.6765,12.850533990147785,11.1496,8.801497999999999
15.21,87.788,2021-01-01,2902283,117,4018,41,171,27.718876,27.832346,27.807295,27.74573,27.886263,28.146526,26.777443,23.693295,21.02323,18.676022,15.209282,12.00561,10.072036,8.662394,6.708746,27.404491,27.403759,27.402294,27.395702,27.38618,27.37959,26.742363,24.611683,19.464064,17.21839,15.241524,11.376415,9.661031,8.820185,7.232246,,27.356,27.363333333333333,27.374,27.3975,27.4412,25.4,22.704454545454546,19.858,17.78177777777778,14.17225,12.03044,10.08204,8.56,6.71464
10.47663,62.94091,2021-01-01,2902388,192,4018,22,72,27.137953,27.37158,27.347641,27.314346,27.308393,26.601353,24.254622,21.020042,18.61118,16.612072,14.220928,12.505083,11.292097,10.081793,8.293772,27.216986,27.213324,27.207464,27.200872,27.195013,26.596607,23.179754,22.0994,18.769707,16.472763,14.817438,12.20481,11.04535,10.357585,8.404889,,27.224,27.226,27.229,27.229,23.420117647058824,20.9945,18.848,17.7238,16.148509433962264,13.970145833333332,12.461,11.028,9.607,7.852
11.57111,64.61373,2021-01-01,2902389,192,4018,26,78,27.863745,27.979631,27.95263,27.841072,27.779251,27.222666,24.978176,21.63735,19.227335,17.224089,14.679382,12.694036,11.408361,10.108602,8.146495,27.726768,27.725304,27.724571,27.72091,27.71871,27.58687,24.151707,22.960752,18.684744,16.23545,14.91705,12.367413,11.1383705,10.342204,8.817987,,27.73924,27.744,27.74984615384616,27.752,27.751115384615385,24.169,22.325692307692307,18.7974,16.98,14.281,12.744941176470588,11.423,10.136980392156865,8.239
11.31598,69.39324,2021-01-01,2902393,191,4018,25,98,28.45485,28.584476,28.556189,28.51084,28.541182,27.92268,25.297796,22.075127,19.373972,17.267618,14.616516,12.729724,11.412794,10.140155,7.9833674,28.524399,28.502426,28.495834,28.48851,28.484116,28.476791,25.682516,24.487167,19.787073,17.281382,14.989563,12.566637,11.057802,10.35319,8.79748,,28.33896,28.341,28.344,28.346,28.350240000000003,24.71952,21.20988235294118,17.624708333333334,15.948,14.157549019607842,12.389192307692309,11.139,10.035,8.264399999999998
13.16964,63.41695833333333,2021-01-01,6902943,294,4018,33,74,27.162247,27.295097,27.272446,27.167202,27.112682,26.566454,24.47975,21.645119,19.978573,18.146887,15.6642685,13.352709,11.826187,10.539758,8.522261,26.926939,26.926939,26.926939,26.926207,26.925474,26.91229,23.790613,22.856014,19.295603,17.393444,16.048677,13.441908,11.640828,10.767022,9.077272,,26.675,26.6736,26.676,26.6818,26.676,23.486,21.796,20.0401,18.067,15.742333333333336,13.6516,11.6185,10.632,8.4155
16.794806666666666,54.35472,2021-01-01,6902948,274,4018,47,37,25.649246,25.69507,25.717953,25.85129,26.201977,26.49567,25.76285,24.024746,22.527939,20.902922,17.967009,15.100439,12.848092,11.624782,9.242361,25.853176,25.779198,25.768944,25.757225,25.747704,25.744041,25.766747,25.42616,23.065493,21.774193,19.535112,14.262978,12.88818,12.154271,9.593646,,25.451,25.4418,25.378,25.358600000000003,25.332,25.33581818181818,25.3188,23.763500000000004,21.7624,18.038,15.236,13.015166666666667,12.011260869565216,
13.1401,57.3608,2021-01-02,1901897,96,4019,33,49,25.985577,26.248154,26.249733,26.19806,26.203272,25.560637,23.506939,20.932777,19.024233,17.510593,15.395693,13.699266,12.023299,10.931941,8.700108,25.225471,25.22474,25.22474,25.22474,25.22474,25.194708,20.537096,19.202581,17.244026,16.26841,15.226874,13.434584,11.961638,11.511185,8.97766,,,,,26.56416071428572,26.53790291262136,25.686400000000003,22.56777391304348,20.889099009900992,18.13414285714286,15.536113402061854,13.84675159235669,11.792519114688128,10.831,8.731763052208835
8.2393,71.8027,2021-01-02,2901897,240,4019,13,107,29.283583,29.3078,29.30622,29.297562,29.309893,29.136936,27.86317,25.298141,21.73864,19.119553,15.616889,12.849245,10.972722,9.462801,7.3504124,29.140385,29.101566,29.114017,29.391613,29.370373,29.376232,28.70165,27.721642,22.613575,19.505814,16.222267,12.859615,10.65569,10.186193,8.399762,,29.299,29.284,29.282,29.284,29.31427272727273,28.781,26.151,21.764,19.032047619047617,15.5765,13.022947368421052,10.8325,9.04880162601626,7.0688125
14.604208333333334,68.589685,2021-01-02,2902120,250,4019,38,94,27.753332,27.850674,27.83744,27.785254,27.780893,27.26946,24.596888,21.57965,19.648537,17.820211,15.301334,13.245178,11.827175,10.527839,8.304174,27.79342,27.792688,27.792688,27.789759,27.798548,27.397167,24.202978,22.863338,19.236275,17.602192,16.023773,13.047853,11.597613,10.895932,8.967406,,,27.919275862068964,27.90326530612245,27.814980392156865,27.72492,23.9445,22.003941176470587,19.930686274509803,17.570076923076922,15.294616438356163,13.032615384615385,11.85579617834395,10.69309900990099,8.538775
11.821,72.405,2021-01-02,2902260,106,4019,27,110,29.253574,29.298044,29.302187,29.293333,29.313581,29.057604,27.607244,24.983095,21.924267,19.698313,16.340414,13.379707,11.596912,10.130263,7.9207106,28.772697,28.688467,28.906736,29.015137,29.09937,28.702383,25.37489,23.168768,21.383068,19.70284,17.153202,13.047853,11.215278,10.59563,8.941771,,28.804,29.19,29.180777777777777,29.1355,28.89,27.678818181818183,23.94709090909091,19.546,17.616,15.041833333333331,12.97164,11.53692,10.16516,8.09364
13.506,69.524,2021-01-02,2902261,106,4019,34,98,28.349785,28.463438,28.436535,28.310925,28.203098,27.230139,24.069569,20.76423,18.458406,16.843386,14.658812,12.938939,11.608266,10.312394,8.149318,28.391827,28.385235,28.37791,28.367657,28.361797,27.200872,23.507156,21.774925,18.465742,16.745232,15.424635,12.375469,11.121525,10.455001,9.270638,,28.353,28.354,28.354666666666667,28.30390909090909,25.6565,22.3403,19.4018,17.4762,15.9785,14.213833333333334,12.74508,11.58772,10.43588,8.55876
11.506,61.31,2021-01-02,2902262,106,4019,26,65,26.228806,26.450415,26.440144,26.423132,26.47854,26.223806,24.766836,22.193943,20.154768,18.026274,15.17769,12.91726,11.544709,10.300105,8.374237,26.393719,26.393719,26.392986,26.390789,26.387127,26.38493,23.140202,21.841578,18.917662,17.49379,16.135838,12.773919,11.692099,10.96112,9.01941,,26.242,26.257,26.26390909090909,26.2662,26.275,24.7272,21.3202,18.883,16.8976,14.736,13.273153846153846,11.68216,10.63132,7.97608
